fold,trial,objective,boosting_type,learning_rate,num_leaves,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,min_child_weight,min_split_gain,reg_alpha,reg_lambda,Accuracy,MCC,PPV,NPV,Sensitivity,Specificity,AUC,OPM,n_Accuracy,n_MCC,n_PPV,n_NPV,n_Sensitivity,n_Specificity,n_OPM,TP,TN,FP,FN,n_TP,n_TN,n_FP,n_FN
4,67,binary,gbdt,0.004694758545133592,20,0.6,0.9,5,10,0.01506651794669627,0.0,0.7,0.1,0.84,0.67,0.85,0.82,0.86,0.8,0.92,0.58,0.83,0.67,0.81,0.85,0.86,0.8,0.58,303,216,53,48,303,282,69,48
4,63,binary,gbdt,0.004694740324268083,20,0.5,0.9,5,10,0.012356941808962896,0.0,0.7,0.1,0.84,0.66,0.85,0.82,0.86,0.8,0.92,0.58,0.83,0.67,0.81,0.85,0.86,0.8,0.58,303,215,54,48,303,281,70,48
0,64,binary,gbdt,0.0043362998025894325,20,0.5,0.8,5,10,0.010933664179005516,0.0,0.7,0.1,0.85,0.7,0.86,0.85,0.89,0.81,0.92,0.62,0.85,0.7,0.82,0.88,0.89,0.81,0.61,313,217,51,39,313,285,67,39
4,21,binary,gbdt,0.003910805185914944,20,0.5,0.7,5,30,0.007256427738299645,0.2,0.7,0.1,0.83,0.66,0.84,0.82,0.86,0.79,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,213,56,48,303,278,73,48
4,64,binary,gbdt,0.0043362998025894325,20,0.5,0.8,5,10,0.010933664179005516,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,302,214,55,49,302,279,72,49
0,65,binary,gbdt,0.004662174395744968,20,0.5,0.8,5,10,0.010544945224672787,0.0,0.7,0.1,0.85,0.7,0.86,0.85,0.89,0.81,0.92,0.62,0.85,0.7,0.82,0.88,0.89,0.81,0.61,313,217,51,39,313,285,67,39
4,65,binary,gbdt,0.004662174395744968,20,0.5,0.8,5,10,0.010544945224672787,0.0,0.7,0.1,0.84,0.67,0.85,0.82,0.87,0.8,0.92,0.58,0.83,0.67,0.81,0.86,0.87,0.79,0.58,305,214,55,46,305,279,72,46
4,54,binary,gbdt,0.004090267616480246,20,0.5,0.7,3,10,0.017545598889882937,0.1,0.4,0.4,0.84,0.67,0.85,0.82,0.87,0.8,0.92,0.58,0.83,0.67,0.81,0.86,0.87,0.8,0.58,304,215,54,47,304,281,70,47
4,28,binary,gbdt,0.0028439964909491243,20,0.6,0.7,5,10,0.0031772168194827578,0.2,0.7,0.1,0.83,0.66,0.84,0.82,0.86,0.79,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,213,56,48,303,278,73,48
4,66,binary,gbdt,0.0043479491326116676,20,0.5,0.8,7,10,0.01003768546190702,0.0,0.7,0.1,0.83,0.66,0.85,0.82,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,214,55,48,303,279,72,48
0,67,binary,gbdt,0.004694758545133592,20,0.6,0.9,5,10,0.01506651794669627,0.0,0.7,0.1,0.84,0.68,0.85,0.83,0.88,0.8,0.92,0.59,0.84,0.68,0.81,0.87,0.88,0.8,0.59,309,214,54,43,309,281,71,43
4,19,binary,gbdt,0.004043457739443902,20,0.5,0.7,5,30,0.008403294673232151,0.2,0.7,0.1,0.83,0.66,0.85,0.82,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,214,55,48,303,279,72,48
4,49,binary,gbdt,0.004973995987649795,10,0.5,0.8,5,20,0.0023643141553542552,0.1,0.4,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,302,215,54,49,302,281,70,49
4,26,binary,gbdt,0.004435957052527733,10,0.5,0.6,5,30,0.006498423519624841,0.2,0.7,0.1,0.83,0.66,0.85,0.81,0.85,0.8,0.92,0.57,0.83,0.66,0.81,0.84,0.85,0.8,0.57,299,216,53,52,299,282,69,52
4,96,binary,gbdt,0.004142171060469267,20,0.5,0.9,5,10,0.022449946577013137,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,302,215,54,49,302,281,70,49
4,85,binary,gbdt,0.0041841885983293315,20,0.6,0.8,5,10,0.009422982922931696,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,301,215,54,50,301,281,70,50
4,33,binary,gbdt,0.0042207518187365,20,0.5,0.7,5,30,0.00600258219906862,0.2,0.7,0.4,0.83,0.65,0.84,0.81,0.86,0.79,0.92,0.56,0.82,0.65,0.8,0.85,0.86,0.79,0.56,302,212,57,49,302,277,74,49
4,86,binary,gbdt,0.004045457130578751,20,0.5,0.8,5,10,0.023719320282452085,0.0,0.7,0.1,0.83,0.66,0.85,0.82,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,214,55,48,303,279,72,48
4,46,binary,gbdt,0.003305940160264824,20,0.6,0.7,5,20,0.004990598369268039,0.2,0.7,0.1,0.83,0.66,0.84,0.82,0.86,0.79,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,213,56,48,303,278,73,48
0,93,binary,gbdt,0.004815583727855788,20,0.6,0.9,5,10,0.01350588833214403,0.0,0.7,0.1,0.85,0.69,0.86,0.83,0.88,0.81,0.92,0.6,0.84,0.69,0.82,0.87,0.88,0.81,0.6,309,216,52,43,309,284,68,43
4,87,binary,gbdt,0.004443092927617124,20,0.7,0.9,5,10,0.006787275838721423,0.0,0.7,0.1,0.84,0.67,0.86,0.81,0.86,0.81,0.92,0.58,0.83,0.67,0.82,0.85,0.86,0.81,0.58,301,218,51,50,301,284,67,50
0,88,binary,gbdt,0.004842111915913908,20,0.5,0.8,5,10,0.008005897080838839,0.0,0.7,0.1,0.86,0.71,0.86,0.85,0.89,0.81,0.92,0.62,0.85,0.7,0.83,0.88,0.89,0.81,0.62,313,218,50,39,313,286,66,39
4,6,binary,gbdt,0.004298643092911157,15,0.7,0.8,5,30,0.004542591917927929,0.1,0.7,0.1,0.83,0.66,0.85,0.81,0.85,0.8,0.92,0.57,0.83,0.66,0.81,0.84,0.85,0.8,0.57,299,216,53,52,299,282,69,52
4,41,binary,gbdt,0.003991419847248982,20,0.5,0.7,5,30,0.003221014601688198,0.2,0.7,0.1,0.83,0.66,0.85,0.82,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,303,214,55,48,303,279,72,48
4,88,binary,gbdt,0.004842111915913908,20,0.5,0.8,5,10,0.008005897080838839,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,302,214,55,49,302,279,72,49
0,96,binary,gbdt,0.004142171060469267,20,0.5,0.9,5,10,0.022449946577013137,0.0,0.7,0.1,0.85,0.69,0.85,0.84,0.88,0.8,0.92,0.6,0.84,0.69,0.82,0.87,0.88,0.8,0.6,311,215,53,41,311,282,70,41
4,95,binary,gbdt,0.004988417804946296,20,0.6,0.9,5,10,0.0102018516648273,0.0,0.7,0.1,0.84,0.66,0.85,0.82,0.86,0.8,0.92,0.58,0.83,0.67,0.81,0.85,0.86,0.8,0.58,303,215,54,48,303,281,70,48
0,91,binary,gbdt,0.004677439177050696,20,0.6,0.9,5,10,0.016531379275677847,0.0,0.7,0.1,0.85,0.69,0.85,0.84,0.88,0.8,0.92,0.6,0.84,0.68,0.82,0.87,0.88,0.8,0.6,310,215,53,42,310,282,70,42
4,90,binary,gbdt,0.0038499108811824163,20,0.5,0.9,5,10,0.019957887261862883,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,302,215,54,49,302,281,70,49
4,42,binary,gbdt,0.004131065821448132,20,0.5,0.7,5,30,0.0020216437733513743,0.2,0.7,0.1,0.83,0.65,0.84,0.81,0.86,0.79,0.92,0.57,0.83,0.65,0.81,0.85,0.86,0.79,0.57,302,213,56,49,302,278,73,49
0,95,binary,gbdt,0.004988417804946296,20,0.6,0.9,5,10,0.0102018516648273,0.0,0.7,0.1,0.85,0.69,0.85,0.84,0.88,0.8,0.92,0.6,0.84,0.69,0.82,0.87,0.88,0.8,0.6,311,215,53,41,311,282,70,41
0,86,binary,gbdt,0.004045457130578751,20,0.5,0.8,5,10,0.023719320282452085,0.0,0.7,0.1,0.85,0.7,0.86,0.85,0.89,0.8,0.92,0.61,0.85,0.69,0.82,0.88,0.89,0.8,0.61,313,215,53,39,313,282,70,39
0,97,binary,gbdt,0.004513970019640387,20,0.7,0.8,5,10,0.008794090243964317,0.0,0.7,0.1,0.85,0.69,0.85,0.84,0.88,0.8,0.92,0.6,0.84,0.68,0.82,0.87,0.88,0.8,0.6,310,215,53,42,310,282,70,42
4,94,binary,gbdt,0.004344875486223216,20,0.6,0.8,5,10,0.014983960681136672,0.0,0.7,0.1,0.83,0.65,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.65,0.81,0.85,0.86,0.79,0.57,301,214,55,50,301,279,72,50
0,81,binary,gbdt,0.004724090947771987,20,0.6,0.9,5,10,0.015676811568709103,0.0,0.7,0.1,0.85,0.68,0.85,0.83,0.88,0.8,0.92,0.6,0.84,0.68,0.82,0.87,0.88,0.8,0.59,309,215,53,43,309,282,70,43
4,81,binary,gbdt,0.004724090947771987,20,0.6,0.9,5,10,0.015676811568709103,0.0,0.7,0.1,0.84,0.66,0.85,0.82,0.86,0.8,0.92,0.58,0.83,0.66,0.81,0.85,0.86,0.8,0.58,302,216,53,49,302,282,69,49
0,82,binary,gbdt,0.004775019780451891,20,0.6,0.9,5,10,0.01071268716488402,0.0,0.7,0.1,0.85,0.68,0.86,0.83,0.88,0.81,0.92,0.6,0.84,0.68,0.82,0.87,0.88,0.81,0.6,308,216,52,44,308,284,68,44
4,32,binary,gbdt,0.003872907565795822,20,0.5,0.7,5,30,0.007804287057804024,0.2,0.7,0.1,0.83,0.65,0.84,0.82,0.86,0.79,0.92,0.57,0.83,0.65,0.8,0.85,0.86,0.79,0.57,303,212,57,48,303,277,74,48
4,82,binary,gbdt,0.004775019780451891,20,0.6,0.9,5,10,0.01071268716488402,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,302,215,54,49,302,281,70,49
0,83,binary,gbdt,0.004555677588960811,20,0.6,0.9,5,10,0.01481657684723192,0.0,0.7,0.1,0.85,0.68,0.85,0.84,0.88,0.8,0.92,0.6,0.84,0.68,0.81,0.87,0.88,0.8,0.59,310,214,54,42,310,281,71,42
4,39,binary,gbdt,0.002872934527983262,20,0.6,0.7,1,20,0.025229162806327966,0.2,0.1,0.1,0.83,0.66,0.84,0.82,0.87,0.79,0.92,0.57,0.83,0.66,0.8,0.86,0.87,0.79,0.57,305,212,57,46,305,277,74,46
4,93,binary,gbdt,0.004815583727855788,20,0.6,0.9,5,10,0.01350588833214403,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,301,215,54,50,301,281,70,50
4,35,binary,gbdt,0.0036808741168067533,20,0.6,0.8,5,30,0.0040356095198998305,0.2,0.7,0.4,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.79,0.57,302,214,55,49,302,279,72,49
4,83,binary,gbdt,0.004555677588960811,20,0.6,0.9,5,10,0.01481657684723192,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,302,215,54,49,302,281,70,49
0,92,binary,gbdt,0.004622440571736612,20,0.6,0.9,5,10,0.012199758147912944,0.0,0.7,0.1,0.84,0.68,0.85,0.83,0.88,0.8,0.92,0.59,0.84,0.68,0.81,0.87,0.88,0.8,0.59,309,214,54,43,309,281,71,43
0,84,binary,gbdt,0.004774102336959872,20,0.6,0.9,5,10,0.011473831555112472,0.0,0.7,0.1,0.85,0.69,0.86,0.84,0.88,0.81,0.92,0.61,0.85,0.69,0.82,0.87,0.88,0.81,0.61,311,216,52,41,311,284,68,41
4,47,binary,gbdt,0.004718781109220948,15,0.6,0.8,3,30,0.00391812654376432,0.1,0.9999999999999999,0.1,0.83,0.66,0.85,0.81,0.85,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.85,0.8,0.57,300,216,53,51,300,282,69,51
4,97,binary,gbdt,0.004513970019640387,20,0.7,0.8,5,10,0.008794090243964317,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,301,216,53,50,301,282,69,50
4,84,binary,gbdt,0.004774102336959872,20,0.6,0.9,5,10,0.011473831555112472,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,301,215,54,50,301,281,70,50
4,91,binary,gbdt,0.004677439177050696,20,0.6,0.9,5,10,0.016531379275677847,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,301,216,53,50,301,282,69,50
4,92,binary,gbdt,0.004622440571736612,20,0.6,0.9,5,10,0.012199758147912944,0.0,0.7,0.1,0.83,0.66,0.85,0.81,0.86,0.8,0.92,0.57,0.83,0.66,0.81,0.85,0.86,0.8,0.57,302,215,54,49,302,281,70,49
1,42,binary,gbdt,0.004131065821448132,20,0.5,0.7,5,30,0.0020216437733513743,0.2,0.7,0.1,0.85,0.69,0.86,0.83,0.87,0.82,0.91,0.6,0.84,0.69,0.83,0.86,0.87,0.82,0.6,306,219,49,46,306,288,64,46
1,55,binary,gbdt,0.004472901903940401,20,0.6,0.8,5,20,0.02903715604960318,0.1,0.7,0.1,0.85,0.69,0.86,0.83,0.87,0.82,0.91,0.61,0.85,0.69,0.83,0.86,0.87,0.82,0.6,307,219,49,45,307,288,64,45
0,49,binary,gbdt,0.004973995987649795,10,0.5,0.8,5,20,0.0023643141553542552,0.1,0.4,0.1,0.84,0.68,0.85,0.83,0.88,0.79,0.91,0.59,0.84,0.68,0.81,0.87,0.88,0.8,0.59,309,213,55,43,309,280,72,43
0,56,binary,gbdt,0.0012487136577793642,20,0.5,0.6,3,30,0.005304989303525122,0.1,0.4,0.1,0.85,0.68,0.83,0.88,0.92,0.75,0.91,0.6,0.83,0.68,0.78,0.9,0.92,0.75,0.59,324,200,68,28,324,263,89,28
0,42,binary,gbdt,0.004131065821448132,20,0.5,0.7,5,30,0.0020216437733513743,0.2,0.7,0.1,0.84,0.68,0.85,0.83,0.88,0.8,0.91,0.59,0.84,0.68,0.81,0.87,0.88,0.8,0.59,309,214,54,43,309,281,71,43
4,56,binary,gbdt,0.0012487136577793642,20,0.5,0.6,3,30,0.005304989303525122,0.1,0.4,0.1,0.82,0.64,0.82,0.83,0.88,0.75,0.91,0.55,0.82,0.64,0.78,0.86,0.88,0.75,0.55,309,202,67,42,309,264,87,42
0,57,binary,gbdt,0.0038348319643373057,20,0.7,0.5,5,20,0.01917526022928056,0.2,0.7,0.4,0.84,0.67,0.85,0.83,0.87,0.8,0.91,0.59,0.84,0.67,0.81,0.86,0.87,0.8,0.58,307,214,54,45,307,281,71,45
